RESULT_JSON {"J0_f8nod": {"g1": 16.0244208975158, "g6": 1.796316029892835, "g5": 1.3716463348381471, "g3": 153.76323351744384, "g4": 426, "g8": 0.7399177172500702, "s3_trend": 0.4527176079879025, "s3_g1exp": -0.10635107772336186, "r50k": 3.4960685930450817, "rspan": 1.7894042446106926, "gspan": -0.3241274817641769, "rank_local": 38.87589348164873, "rank_global": 149.46003539418305, "np95": 2, "rp1": 0.9145500063896179, "occ_cv": 0.3267081081867218, "same_art": 0.8917299509048462}}
RESULT_JSON {"J1_e10row": {"g1": 16.945886040709155, "g6": 1.9706905841691094, "g5": 1.3746621673589368, "g3": 153.72917417437625, "g4": 423, "g8": 0.7420249058131411, "s3_trend": 0.4956300935425359, "s3_g1exp": -0.130447812030034, "r50k": 3.9722123205213182, "rspan": 2.1522005424120065, "gspan": -0.30789085972226343, "rank_local": 36.85466460807127, "rank_global": 149.98719250480642, "np95": 3, "rp1": 0.9062699675559998, "occ_cv": 0.36642250418663025, "same_art": 0.7951499819755554}}
RESULT_JSON {"J10_e30g90": {"g1": 22.869351755866692, "g6": 1.877078297425418, "g5": 1.406705351804327, "g3": 158.67160597180072, "g4": 424, "g8": 0.7265745223730516, "s3_trend": 1.5079370561271401, "s3_g1exp": -0.07991306070820142, "r50k": 7.361809677200967, "rspan": 4.989616691103467, "gspan": -0.3195127505364147, "rank_local": 32.707047507793895, "rank_global": 155.83872320241954, "np95": 4, "rp1": 0.874049961566925, "occ_cv": 0.4963270127773285, "same_art": 0.6010299921035767}}
RESULT_JSON {"J11_e40row": {"g1": 21.339892448134556, "g6": 8.022587480450245, "g5": 1.4686705587096036, "g3": 142.56272209582875, "g4": 389, "g8": 0.7208228306007719, "s3_trend": 1.8181763740572454, "s3_g1exp": -0.19073475997496722, "r50k": 6.522090008547089, "rspan": 3.646833116496175, "gspan": -0.3774712068307772, "rank_local": 31.73553712779948, "rank_global": 140.91443692475144, "np95": 5, "rp1": 0.8611800074577332, "occ_cv": 0.5508288145065308, "same_art": 0.5049200057983398}}
RESULT_JSON {"J12_e30a85": {"g1": 20.12516538268468, "g6": 4.752196797179509, "g5": 1.402514314499613, "g3": 150.11301667098567, "g4": 409, "g8": 0.7241042106586224, "s3_trend": 1.1227082073257446, "s3_g1exp": -0.1701227127764553, "r50k": 6.604033612801164, "rspan": 4.34974730931318, "gspan": -0.3540270910960722, "rank_local": 34.10297954390123, "rank_global": 147.37785786609658, "np95": 7, "rp1": 0.8668199777603149, "occ_cv": 0.49174630641937256, "same_art": 0.6064000129699707}}
RESULT_JSON {"J13_e20s137": {"g1": 18.033575206182213, "g6": 2.9647901552444607, "g5": 1.3849890535172964, "g3": 163.38926276292756, "g4": 414, "g8": 0.7383488282958871, "s3_trend": 0.7934724064725522, "s3_g1exp": -0.15675733502832417, "r50k": 5.771600824259745, "rspan": 3.89805790935501, "gspan": -0.32181189059485094, "rank_local": 33.42206770583794, "rank_global": 159.56161500210956, "np95": 3, "rp1": 0.8957299590110779, "occ_cv": 0.4238838851451874, "same_art": 0.6958099603652954}}
RESULT_JSON {"J14_e30g90a85": {"g1": 22.799125458350847, "g6": 2.0633447069428694, "g5": 1.4029287734746048, "g3": 159.41110656029957, "g4": 427, "g8": 0.7190981025510438, "s3_trend": 0.9731021229979975, "s3_g1exp": -0.08737214252970892, "r50k": 7.001167964601571, "rspan": 4.605736900511758, "gspan": -0.30657174180996355, "rank_local": 35.81274026116087, "rank_global": 156.34682963124888, "np95": 8, "rp1": 0.8645899891853333, "occ_cv": 0.4858347475528717, "same_art": 0.6079899668693542}}
RESULT_JSON {"J15_e20b03": {"g1": 18.263166160429904, "g6": 2.908465841246076, "g5": 1.3879544111439426, "g3": 151.6102106264817, "g4": 414, "g8": 0.7381447221079573, "s3_trend": 0.8131580160413797, "s3_g1exp": -0.1506406556428804, "r50k": 5.83303453759085, "rspan": 3.8272871020529426, "gspan": -0.3383635472275096, "rank_local": 32.949295762920656, "rank_global": 148.30491538973374, "np95": 3, "rp1": 0.8990699648857117, "occ_cv": 0.42919662594795227, "same_art": 0.6955699920654297}}
RESULT_JSON {"J2_e20row": {"g1": 18.06921311503132, "g6": 2.8725515034963234, "g5": 1.3827618218430633, "g3": 151.64027855814393, "g4": 414, "g8": 0.7375589304486362, "s3_trend": 0.8279174558164218, "s3_g1exp": -0.15286639659646056, "r50k": 5.464254361889364, "rspan": 3.5225798526921137, "gspan": -0.3282184192733307, "rank_local": 33.58788154764723, "rank_global": 148.6224560441341, "np95": 3, "rp1": 0.8971899747848511, "occ_cv": 0.4226546287536621, "same_art": 0.6943599581718445}}
RESULT_JSON {"J3_e30row": {"g1": 19.711210764489824, "g6": 4.61906315167319, "g5": 1.4067968137254903, "g3": 147.877189131236, "g4": 403, "g8": 0.731616615737204, "s3_trend": 1.6155173296708436, "s3_g1exp": -0.1778614718843823, "r50k": 6.874513941251958, "rspan": 4.692454193726281, "gspan": -0.3634360713099228, "rank_local": 29.858461474324642, "rank_global": 145.41361165384063, "np95": 4, "rp1": 0.8807399868965149, "occ_cv": 0.4959090054035187, "same_art": 0.5987100005149841}}
RESULT_JSON {"J4_e20a85": {"g1": 18.377737433011852, "g6": 2.943030113115623, "g5": 1.3833002924371867, "g3": 152.6499939321989, "g4": 417, "g8": 0.7346840660973014, "s3_trend": 0.6654489742534249, "s3_g1exp": -0.1468536214465325, "r50k": 5.4300093717016376, "rspan": 3.4448793171317904, "gspan": -0.3192693914793035, "rank_local": 36.64859604012251, "rank_global": 149.46960526846144, "np95": 4, "rp1": 0.88919997215271, "occ_cv": 0.4152812361717224, "same_art": 0.699999988079071}}
RESULT_JSON {"J5_e20a96": {"g1": 17.81934529350059, "g6": 2.7945363774108434, "g5": 1.3844190217307997, "g3": 150.82016076370704, "g4": 412, "g8": 0.7380738860812391, "s3_trend": 0.8201101329589812, "s3_g1exp": -0.15849783414125898, "r50k": 5.576748783709408, "rspan": 3.6259045840042945, "gspan": -0.32820125041533477, "rank_local": 31.114069639822468, "rank_global": 147.92269560458158, "np95": 3, "rp1": 0.9064599871635437, "occ_cv": 0.4411899447441101, "same_art": 0.6904499530792236}}
RESULT_JSON {"J6_e20m24": {"g1": 17.94756712034818, "g6": 6.573806206980017, "g5": 1.3851016388832813, "g3": 147.74585082313286, "g4": 409, "g8": 0.7341850306556189, "s3_trend": 0.8127577657744813, "s3_g1exp": -0.17065426721330326, "r50k": 5.806518587819835, "rspan": 3.829090760923915, "gspan": -0.3597631840330081, "rank_local": 35.68422806090142, "rank_global": 144.7845454075988, "np95": 3, "rp1": 0.8878699541091919, "occ_cv": 0.45587828755378723, "same_art": 0.6984699964523315}}
RESULT_JSON {"J7_e20m96": {"g1": 17.667128185884412, "g6": 2.2044925382471505, "g5": 1.380651424094016, "g3": 153.75864846682, "g4": 419, "g8": 0.7433500088147148, "s3_trend": 0.7695918992412395, "s3_g1exp": -0.153351368924552, "r50k": 4.622447380135241, "rspan": 2.658288113542625, "gspan": -0.30010345945677713, "rank_local": 35.04209300536183, "rank_global": 150.66406379171485, "np95": 3, "rp1": 0.899429976940155, "occ_cv": 0.4221966862678528, "same_art": 0.69159996509552}}
RESULT_JSON {"J8_e20g90": {"g1": 20.321303321870765, "g6": 1.8569194512211782, "g5": 1.383741128836452, "g3": 159.16346412849978, "g4": 431, "g8": 0.7351914312811372, "s3_trend": 0.6607490438005672, "s3_g1exp": -0.08466252578246419, "r50k": 5.701385057447728, "rspan": 3.6562858173377832, "gspan": -0.2936543791025396, "rank_local": 35.54247116326203, "rank_global": 155.8736331701051, "np95": 3, "rp1": 0.8972699642181396, "occ_cv": 0.4399528205394745, "same_art": 0.696649968624115}}
RESULT_JSON {"J9_e20g75": {"g1": 20.404887342482617, "g6": 1.8116639624988047, "g5": 1.3852150674823347, "g3": 169.7389532604765, "g4": 449, "g8": 0.7300953326085678, "s3_trend": 0.39732145551840087, "s3_g1exp": -0.08127347205972273, "r50k": 5.664069590847321, "rspan": 3.6097423750357946, "gspan": -0.290637184905643, "rank_local": 37.15791368478511, "rank_global": 166.02663406164606, "np95": 4, "rp1": 0.8862899541854858, "occ_cv": 0.4686702787876129, "same_art": 0.6975599527359009}}
