RESULT_JSON {"K0_f8nod": {"g1": 16.0244208975158, "g6": 1.796316029892835, "g5": 1.3716521534883936, "g3": 153.76323351744384, "g4": 426, "g8": 0.7399177172500702, "s3_trend": 0.4527176079879025, "s3_g1exp": -0.10635107772336186, "r50k": 3.4960685930450817, "rspan": 1.7894042446106926, "gspan": -0.3241274817641769, "rank_local": 38.87589348164873, "rank_global": 149.46003539418305, "np95": 2, "rp1": 0.9145399928092957, "occ_cv": 0.3267034590244293, "same_art": 0.8917299509048462}}
RESULT_JSON {"K1_e10": {"g1": 18.23103925429985, "g6": 1.7987831629330393, "g5": 1.371895856532096, "g3": 154.70693020681105, "g4": 423, "g8": 0.7414112297832886, "s3_trend": 0.5228664818518493, "s3_g1exp": -0.0888208252017221, "r50k": 3.9982212645956303, "rspan": 2.189501587564335, "gspan": -0.3008608787161904, "rank_local": 36.84021749021976, "rank_global": 150.89739181629653, "np95": 3, "rp1": 0.8963299989700317, "occ_cv": 0.3669847846031189, "same_art": 0.7972099781036377}}
RESULT_JSON {"K10_e30b135": {"g1": 22.795472256743405, "g6": 1.8299339910274461, "g5": 1.381953731709311, "g3": 150.54230041133408, "g4": 405, "g8": 0.7257825256442904, "s3_trend": 1.1728943854867873, "s3_g1exp": -0.09429186940583811, "r50k": 6.349594803599515, "rspan": 4.259318258032992, "gspan": -0.3478360294402193, "rank_local": 29.687372347895376, "rank_global": 147.73460693154271, "np95": 6, "rp1": 0.8746599555015564, "occ_cv": 0.4909866452217102, "same_art": 0.5991500020027161}}
RESULT_JSON {"K11_e15s137": {"g1": 19.290779696485767, "g6": 1.793698038431624, "g5": 1.3727301909670648, "g3": 165.461926289347, "g4": 420, "g8": 0.7392299599093718, "s3_trend": 0.8017870531016801, "s3_g1exp": -0.0941474642107321, "r50k": 4.469110737009876, "rspan": 2.666298975096708, "gspan": -0.2673890892478702, "rank_local": 35.20448118301793, "rank_global": 161.07605621363254, "np95": 4, "rp1": 0.8949899673461914, "occ_cv": 0.3996949791908264, "same_art": 0.751829981803894}}
RESULT_JSON {"K12_e20s137": {"g1": 20.46263943985856, "g6": 1.828415691625921, "g5": 1.3786073196963697, "g3": 164.3813371002377, "g4": 415, "g8": 0.737684656150523, "s3_trend": 0.9177182803173448, "s3_g1exp": -0.08496618778186762, "r50k": 5.674516600071355, "rspan": 3.801073564509762, "gspan": -0.29296111486835846, "rank_local": 33.88700436355806, "rank_global": 160.4274935591585, "np95": 4, "rp1": 0.8917099833488464, "occ_cv": 0.4322444796562195, "same_art": 0.6986199617385864}}
RESULT_JSON {"K13_e25": {"g1": 21.68979660520322, "g6": 1.8228298010958932, "g5": 1.383091906760343, "g3": 152.21999737023785, "g4": 410, "g8": 0.7312402884697002, "s3_trend": 1.123054190357184, "s3_g1exp": -0.08099358722034028, "r50k": 6.22495862242532, "rspan": 4.188704878531008, "gspan": -0.30044908633971396, "rank_local": 31.20739944750794, "rank_global": 149.3052167765306, "np95": 5, "rp1": 0.8791199922561646, "occ_cv": 0.45980751514434814, "same_art": 0.6497699618339539}}
RESULT_JSON {"K14_e25b135": {"g1": 21.586477884532194, "g6": 1.8231948931949282, "g5": 1.3730870703531681, "g3": 152.3434745145754, "g4": 410, "g8": 0.7307230454186336, "s3_trend": 0.7914625299159853, "s3_g1exp": -0.0988350888075704, "r50k": 5.021746164035956, "rspan": 2.99946476806087, "gspan": -0.32142845113354135, "rank_local": 31.867931808038186, "rank_global": 149.44602758487335, "np95": 5, "rp1": 0.8777099847793579, "occ_cv": 0.4562951326370239, "same_art": 0.647059977054596}}
RESULT_JSON {"K15_e20m24b135": {"g1": 20.16529811699746, "g6": 1.858126541649996, "g5": 1.3698365296563464, "g3": 149.68100267255423, "g4": 411, "g8": 0.7315221149765267, "s3_trend": 0.6573410629269802, "s3_g1exp": -0.10777107183959785, "r50k": 4.559063016965906, "rspan": 2.6276532644083996, "gspan": -0.33904000539677914, "rank_local": 35.20457151325224, "rank_global": 146.5926703973189, "np95": 4, "rp1": 0.8802199959754944, "occ_cv": 0.42901724576950073, "same_art": 0.6967699527740479}}
RESULT_JSON {"K2_e15": {"g1": 19.167331928219475, "g6": 1.7912621808912728, "g5": 1.373403316184749, "g3": 154.2440033807003, "g4": 420, "g8": 0.7382012239394591, "s3_trend": 0.6730461636125029, "s3_g1exp": -0.08281797886736232, "r50k": 4.6454232217785, "rspan": 2.810742986434616, "gspan": -0.2961060538266305, "rank_local": 35.19905567788575, "rank_global": 150.82374423475022, "np95": 4, "rp1": 0.8919199705123901, "occ_cv": 0.3820227086544037, "same_art": 0.7493999600410461}}
RESULT_JSON {"K3_e20": {"g1": 20.414144536783905, "g6": 1.8273841680173324, "g5": 1.3773951294346052, "g3": 153.4398844570548, "g4": 415, "g8": 0.7349487403119755, "s3_trend": 0.8458336911484594, "s3_g1exp": -0.08050668706308595, "r50k": 5.508141113432506, "rspan": 3.616610492019378, "gspan": -0.29646717210456913, "rank_local": 33.31363153785753, "rank_global": 150.25652147057193, "np95": 4, "rp1": 0.885919988155365, "occ_cv": 0.42277300357818604, "same_art": 0.696940004825592}}
RESULT_JSON {"K4_e30": {"g1": 22.929504865693303, "g6": 1.8330286698538238, "g5": 1.39829980409777, "g3": 150.41739827668664, "g4": 404, "g8": 0.7257790882320294, "s3_trend": 1.7736975763551681, "s3_g1exp": -0.07921954504708262, "r50k": 7.1200573972277095, "rspan": 4.997712127922075, "gspan": -0.3263149973223876, "rank_local": 29.091438806893755, "rank_global": 147.61374805977124, "np95": 6, "rp1": 0.8706499934196472, "occ_cv": 0.48442351818084717, "same_art": 0.6015899777412415}}
