RESULT_JSON {"N0_f8nod": {"g1": 16.0244208975158, "g6": 1.796316029892835, "g5": 1.3718990305059957, "g3": 153.76323351744384, "g4": 426, "g8": 0.7399177172500702, "s3_trend": 0.4527176079879025, "s3_g1exp": -0.10635107772336186, "r50k": 3.4960685930450817, "rspan": 1.7894042446106926, "gspan": -0.3241274817641769, "rank_local": 38.87589348164873, "rank_global": 149.46003539418305, "np95": 2, "rp1": 0.9147099852561951, "occ_cv": 0.3268904983997345, "same_art": 0.8917299509048462}}
RESULT_JSON {"N1_p15k4": {"g1": 14.911132960332539, "g6": 1.8287329850187988, "g5": 1.3386969577446544, "g3": 156.13613321472718, "g4": 427, "g8": 0.7147952216084569, "s3_trend": 0.6765198837637069, "s3_g1exp": -0.16968339164867652, "r50k": 2.49992867126444, "rspan": 1.0296717086753338, "gspan": -0.23146135849469143, "rank_local": 43.47479190126349, "rank_global": 152.7585480961502, "np95": 15, "rp1": 0.8222599625587463, "occ_cv": 0.31296661496162415, "same_art": 0.7173900008201599}}
RESULT_JSON {"N10_p35k4b135": {"g1": 11.306434698277696, "g6": 1.904371186055212, "g5": 1.2881983518994522, "g3": 158.79967295836047, "g4": 428, "g8": 0.6711380609156926, "s3_trend": 0.9115414987588863, "s3_g1exp": -0.3678049870233925, "r50k": 2.9856450577849607, "rspan": 1.7063268635447675, "gspan": -0.1671585611843505, "rank_local": 50.11015158181121, "rank_global": 156.33422857554797, "np95": 74, "rp1": 0.6911799907684326, "occ_cv": 0.2874299883842468, "same_art": 0.4872399866580963}}
RESULT_JSON {"N11_p15k4s137": {"g1": 15.108472265170409, "g6": 1.8406876644991519, "g5": 1.3350495495935664, "g3": 167.72345949257215, "g4": 428, "g8": 0.7168346638655462, "s3_trend": 0.8528442055909228, "s3_g1exp": -0.1725884196859089, "r50k": 2.3769738852084603, "rspan": 0.978974410092224, "gspan": -0.21139537009128512, "rank_local": 43.3981551085441, "rank_global": 163.228484882017, "np95": 14, "rp1": 0.8197599649429321, "occ_cv": 0.3084706962108612, "same_art": 0.7196899652481079}}
RESULT_JSON {"N12_p25k4s137": {"g1": 13.798631646924369, "g6": 1.8492706707299098, "g5": 1.3122273183379127, "g3": 169.32226141099852, "g4": 428, "g8": 0.6988481350348997, "s3_trend": 1.0128019807158275, "s3_g1exp": -0.23475066225580968, "r50k": 2.419053700154443, "rspan": 1.080748903227762, "gspan": -0.18092972958137976, "rank_local": 46.4160034874311, "rank_global": 165.65039855034226, "np95": 35, "rp1": 0.7521599531173706, "occ_cv": 0.2905397117137909, "same_art": 0.6013299822807312}}
RESULT_JSON {"N13_p25k2": {"g1": 12.825150431719008, "g6": 1.8782184706261273, "g5": 1.3143613234425369, "g3": 157.4292114744677, "g4": 428, "g8": 0.6914243539913819, "s3_trend": 0.6805395587657951, "s3_g1exp": -0.31852362897292574, "r50k": 2.563270616080995, "rspan": 1.1762749546867781, "gspan": -0.17105746449919654, "rank_local": 47.12600106785887, "rank_global": 154.59736713281615, "np95": 56, "rp1": 0.7343399524688721, "occ_cv": 0.3015182912349701, "same_art": 0.5969799757003784}}
RESULT_JSON {"N14_p15k16": {"g1": 19.03427663301026, "g6": 1.807435601484734, "g5": 1.343454354589987, "g3": 155.92207925392063, "g4": 427, "g8": 0.7414518179532884, "s3_trend": 1.0180031100947193, "s3_g1exp": 0.027660694375498847, "r50k": 2.5393288722702843, "rspan": 0.9709320440569573, "gspan": -0.2574065808861221, "rank_local": 42.18002113134201, "rank_global": 152.58381514692041, "np95": 4, "rp1": 0.8826099634170532, "occ_cv": 0.3519546389579773, "same_art": 0.7305600047111511}}
RESULT_JSON {"N15_p25k4a92": {"g1": 13.88743040438985, "g6": 1.8473050261633694, "g5": 1.310886936343131, "g3": 157.3358111967479, "g4": 428, "g8": 0.6903330090188451, "s3_trend": 0.836996214618102, "s3_g1exp": -0.2350608271000253, "r50k": 2.4742300891218725, "rspan": 1.1056834556333583, "gspan": -0.1914349511422332, "rank_local": 47.308308727111076, "rank_global": 154.3722080338225, "np95": 44, "rp1": 0.7315599918365479, "occ_cv": 0.29498881101608276, "same_art": 0.6053000092506409}}
RESULT_JSON {"N2_p15k2": {"g1": 14.006894588372214, "g6": 1.8289276290754701, "g5": 1.337483179758906, "g3": 156.12733398265257, "g4": 427, "g8": 0.7111680861622038, "s3_trend": 0.5830105997970484, "s3_g1exp": -0.228456021319773, "r50k": 2.5038209460781795, "rspan": 1.0468284866975794, "gspan": -0.242347512227923, "rank_local": 43.398563055979785, "rank_global": 152.7046574706867, "np95": 19, "rp1": 0.8068299889564514, "occ_cv": 0.3176908493041992, "same_art": 0.7153499722480774}}
RESULT_JSON {"N3_p15k8": {"g1": 17.12766613595712, "g6": 1.831815504746161, "g5": 1.3394890905616228, "g3": 156.13986373086206, "g4": 427, "g8": 0.722952453102453, "s3_trend": 0.8800726954623801, "s3_g1exp": -0.0701244926425238, "r50k": 2.513739903346094, "rspan": 0.9594625170169009, "gspan": -0.21269611396715907, "rank_local": 42.870123523686146, "rank_global": 152.6694201464029, "np95": 8, "rp1": 0.8477799892425537, "occ_cv": 0.31946343183517456, "same_art": 0.7224099636077881}}
RESULT_JSON {"N4_p25k4": {"g1": 13.747248681012387, "g6": 1.8497710791281876, "g5": 1.3147076823447417, "g3": 157.4387190066393, "g4": 428, "g8": 0.6962179185193891, "s3_trend": 0.8670564980984379, "s3_g1exp": -0.2334643060105951, "r50k": 2.536297732975692, "rspan": 1.1369076723330604, "gspan": -0.18250318539144478, "rank_local": 46.87113686389587, "rank_global": 154.56284088409123, "np95": 39, "rp1": 0.7516099810600281, "occ_cv": 0.3042334020137787, "same_art": 0.5989399552345276}}
