RESULT_JSON {"O0_f8nod": {"g1": 16.0244208975158, "g6": 1.796316029892835, "g5": 1.371617004090986, "g3": 153.76323351744384, "g4": 426, "g8": 0.7399177172500702, "s3_trend": 0.4527176079879025, "s3_g1exp": -0.10635107772336186, "r50k": 3.4960685930450817, "rspan": 1.7894042446106926, "gspan": -0.3241274817641769, "rank_local": 38.87589348164873, "rank_global": 149.46003539418305, "np95": 2, "rp1": 0.9144399762153625, "occ_cv": 0.3268648386001587, "same_art": 0.8917299509048462}}
RESULT_JSON {"O1_p10k2": {"g1": 14.785950859896658, "g6": 1.831428712951999, "g5": 1.3495021580319415, "g3": 155.3825865561563, "g4": 427, "g8": 0.7209032694429754, "s3_trend": 0.5471762063632655, "s3_g1exp": -0.18808852981966992, "r50k": 2.7231166555447994, "rspan": 1.2220996180423143, "gspan": -0.2533240987455855, "rank_local": 41.79733468171761, "rank_global": 151.61718186541657, "np95": 10, "rp1": 0.8482300043106079, "occ_cv": 0.3106045424938202, "same_art": 0.7756199836730957}}
RESULT_JSON {"O10_p12k3wl55": {"g1": 14.973482934122707, "g6": 1.8337831251429313, "g5": 1.3538296854248817, "g3": 150.22313775993106, "g4": 425, "g8": 0.7153780947380792, "s3_trend": 0.5223263020026012, "s3_g1exp": -0.18956904285888365, "r50k": 2.573348302184397, "rspan": 1.0474876301514038, "gspan": -0.26095230595062446, "rank_local": 42.86694280566768, "rank_global": 146.77374646412906, "np95": 11, "rp1": 0.8366599678993225, "occ_cv": 0.31523841619491577, "same_art": 0.7542299628257751}}
RESULT_JSON {"O11_p12k3s137": {"g1": 14.707313920402408, "g6": 1.8095389673702151, "g5": 1.3408702263729997, "g3": 167.23902718602955, "g4": 428, "g8": 0.7179760151183525, "s3_trend": 0.6643454867286133, "s3_g1exp": -0.18228617981322967, "r50k": 2.508055746062258, "rspan": 1.0865177494801768, "gspan": -0.22312260075456125, "rank_local": 42.34554827642737, "rank_global": 162.40665735100535, "np95": 10, "rp1": 0.8361199498176575, "occ_cv": 0.3119479715824127, "same_art": 0.7536900043487549}}
RESULT_JSON {"O12_p12k2s137": {"g1": 14.504537487859276, "g6": 1.812744735684512, "g5": 1.3408280682680311, "g3": 167.23049783331206, "g4": 428, "g8": 0.7170095644551526, "s3_trend": 0.6724977714648214, "s3_g1exp": -0.20554183520883845, "r50k": 2.524879319331032, "rspan": 1.1240174170402246, "gspan": -0.21337029962783172, "rank_local": 42.81316919581799, "rank_global": 162.51854407846332, "np95": 12, "rp1": 0.8306300044059753, "occ_cv": 0.31153103709220886, "same_art": 0.7519999742507935}}
RESULT_JSON {"O13_p08k2": {"g1": 14.930945289349339, "g6": 1.8138917070090836, "g5": 1.3525653703541023, "g3": 155.04937423532513, "g4": 427, "g8": 0.7250063474880812, "s3_trend": 0.5147581392098625, "s3_g1exp": -0.16786535496021604, "r50k": 2.7856363768476284, "rspan": 1.212924020610571, "gspan": -0.2723655978737295, "rank_local": 41.15438782462787, "rank_global": 151.21434054592083, "np95": 8, "rp1": 0.858959972858429, "occ_cv": 0.31523120403289795, "same_art": 0.7963699698448181}}
RESULT_JSON {"O14_p12k3b135": {"g1": 14.544039967703583, "g6": 1.8111074045125453, "g5": 1.3400544429094925, "g3": 155.85268115109454, "g4": 428, "g8": 0.7182559984133513, "s3_trend": 0.5240181116474035, "s3_g1exp": -0.2042922484298675, "r50k": 2.49463764493779, "rspan": 1.0039703264428672, "gspan": -0.28410746594644604, "rank_local": 43.08045488063145, "rank_global": 152.29388142725875, "np95": 13, "rp1": 0.8314699530601501, "occ_cv": 0.31033948063850403, "same_art": 0.7483299970626831}}
RESULT_JSON {"O15_p15k2w100": {"g1": 15.828804675989662, "g6": 1.823067630303869, "g5": 1.3376644014583141, "g3": 156.06249010647733, "g4": 427, "g8": 0.7174969791646262, "s3_trend": 0.5692452362678238, "s3_g1exp": -0.22051945507510737, "r50k": 2.5515133162651646, "rspan": 1.0745928867780994, "gspan": -0.3661135579939198, "rank_local": 42.81636004467879, "rank_global": 152.6376309402068, "np95": 19, "rp1": 0.8098799586296082, "occ_cv": 0.3110027313232422, "same_art": 0.7165499925613403}}
RESULT_JSON {"O2_p12k2": {"g1": 14.544336920132894, "g6": 1.836244844639348, "g5": 1.34424401863893, "g3": 155.72339720627562, "g4": 427, "g8": 0.719063507734096, "s3_trend": 0.5535053797631464, "s3_g1exp": -0.20123096100742735, "r50k": 2.6812697530054312, "rspan": 1.1772494493666408, "gspan": -0.2449710589259482, "rank_local": 42.40787562713598, "rank_global": 152.08519264865492, "np95": 14, "rp1": 0.8274299502372742, "occ_cv": 0.31045612692832947, "same_art": 0.7503199577331543}}
RESULT_JSON {"O3_p10k3": {"g1": 15.10031083152579, "g6": 1.8127715065648744, "g5": 1.3489252604807613, "g3": 155.33013589770306, "g4": 427, "g8": 0.721931069541054, "s3_trend": 0.5393727186941911, "s3_g1exp": -0.16752720606763816, "r50k": 2.742118090016655, "rspan": 1.228408080234715, "gspan": -0.2742446007947092, "rank_local": 41.83981541133084, "rank_global": 151.58063416926697, "np95": 9, "rp1": 0.8506199717521667, "occ_cv": 0.3138906955718994, "same_art": 0.7748099565505981}}
RESULT_JSON {"O4_p12k3": {"g1": 14.673617103934937, "g6": 1.8224854570156774, "g5": 1.343965864638293, "g3": 155.66891932342418, "g4": 427, "g8": 0.7200310364472129, "s3_trend": 0.5798345395045711, "s3_g1exp": -0.18394026747908424, "r50k": 2.7114921008939894, "rspan": 1.1778176444295498, "gspan": -0.24799127046602623, "rank_local": 42.375649418384754, "rank_global": 152.0752943930974, "np95": 12, "rp1": 0.8309299945831299, "occ_cv": 0.3201344609260559, "same_art": 0.7513299584388733}}
